"주택소재지별(1)",2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
"주택소재지별(1)",총주택,개인소유주택,총아파트,개인소유아파트,총주택,개인소유주택,총아파트,개인소유아파트,총주택,개인소유주택,총아파트,개인소유아파트,총주택,개인소유주택,총아파트,개인소유아파트,총주택,개인소유주택,총아파트,개인소유아파트,총주택,개인소유주택,총아파트,개인소유아파트,총주택,개인소유주택,총아파트,개인소유아파트,총주택,개인소유주택,총아파트,개인소유아파트,총주택,개인소유주택,총아파트,개인소유아파트
"전국",15300616,12962814,8977135,7449705,15624928,13430598,9197989,7650631,15920906,13672355,9448885,7907597,16367006,14147519,9806062,8191917,16692230,14521457,10029644,8425911,17122573,14963975,10375363,8697344,17633327,15317333,10826044,9031320,18126954,15688708,11287048,9377878,18525844,15968279,11661851,9647242
"서울특별시",2625657,2303505,1543045,1304927,2686621,2354408,1577800,1326272,2699568,2419051,1578972,1358224,2793244,2483521,1636896,1378958,2830857,2535607,1641383,1399373,2866845,2552576,1665922,1409694,2894078,2571020,1679639,1421708,2953964,2603182,1720691,1446390,3015371,2640316,1772670,1480173
"부산광역시",1078853,942667,659821,582898,1111427,1000941,683785,601748,1133236,1017300,710774,624341,1164352,1054112,738068,648816,1174034,1063107,750122,667623,1200422,1090217,776079,686371,1220782,1102122,798281,703077,1249757,1112532,831294,719139,1275859,1129142,860042,740198
"대구광역시",703026,627382,470836,409732,715499,642457,483089,420536,716961,650004,491094,436498,738100,667536,509068,445307,761054,685240,532090,463380,783895,704573,555900,483971,792998,712585,567543,496307,800340,715803,579777,504766,809802,717726,595392,512520
"인천광역시",892303,785487,535724,453901,905209,808639,546726,465686,920575,820432,561079,479585,942244,846873,577346,498808,958072,865592,588563,512331,969588,880133,597929,526729,997959,895255,624332,544663,1019365,908703,648403,562880,1032774,919273,661611,576221
"광주광역시",458037,382146,348622,281469,467333,390470,356907,287622,477400,401789,369526,302158,486527,418763,376731,314820,494547,426202,384750,322869,505471,433969,395976,330782,514767,441585,406329,340144,526161,449711,419567,350515,538275,452867,432295,355089
"대전광역시",443787,384405,313705,267416,449622,391646,319326,271653,459481,402794,330512,282649,468885,417505,338250,292894,474193,422487,343223,297461,479161,421521,348033,296686,486764,430993,355517,306455,492797,433024,362190,310220,496875,434963,367235,313798
"울산광역시",326379,290453,223734,196984,332697,300544,228648,203167,344461,310602,241970,215084,357674,325230,253010,226018,361273,332052,256003,232180,371300,339953,264440,239539,379741,346950,273230,249898,391596,357483,286234,257660,394634,363568,289432,264050
"세종특별자치시",39325,33464,20957,17056,40439,34996,21828,17992,60557,39872,41780,23103,81130,61863,62274,45023,86607,71317,67773,54063,104448,85985,85256,67875,118959,98966,99512,80662,132257,104383,112722,85993,136887,108508,117312,90173
"경기도",3401339,2943112,2323247,1969528,3485881,3051810,2371924,2018630,3571076,3107200,2426560,2060779,3693557,3226048,2502091,2115908,3814834,3321793,2577259,2164804,3949829,3430434,2676037,2237980,4169100,3567956,2860249,2352161,4354776,3720475,3021258,2492579,4495115,3820945,3146667,2584396
"강원도",547769,424380,275592,201804,552576,446576,278358,207252,560843,447941,287031,215153,569899,460440,297005,223096,575967,476088,300788,228320,586383,489130,307839,234627,603644,501341,322796,244304,627376,518534,346389,260639,644023,534566,360950,274363
"충청북도",520489,433200,279576,223140,530845,449694,285720,230551,543324,450768,295538,236237,556951,455475,308352,245670,568567,475450,316851,252657,581855,498845,327319,262239,607686,510750,351577,276096,625957,528314,369668,290444,640256,540586,383130,300714
"충청남도",708475,548949,345518,259458,721768,577655,354866,271176,741405,598997,366861,288260,754372,618572,382323,302643,776746,648461,402808,324356,805555,686088,426251,344151,835752,710035,453830,365534,850525,727628,467790,382350,865008,737853,481332,390998
"전라북도",661515,515280,335645,260679,669758,540155,342814,271772,679594,543358,353549,280195,687103,556685,364712,295580,692563,563127,370071,299010,698264,587158,374491,305703,712850,598732,389225,316050,724524,608803,401005,325040,741221,617768,416861,332476
"전라남도",707639,524182,264808,175377,721444,548427,275952,183368,739093,552096,291090,194310,747621,561781,306661,204671,755044,577419,316137,213147,766231,605836,324257,220838,777966,610398,335966,231254,787816,629255,346990,240123,802043,643457,359690,251601
"경상북도",949692,768357,409120,319584,963566,794807,418332,325654,978667,786657,427860,333844,995385,833001,449154,354608,1009941,855400,461577,372490,1038274,895071,485196,393187,1060505,920239,507230,417147,1081216,936551,529133,433661,1094306,948610,541246,443829
"경상남도",1064715,910531,576119,486201,1088659,947919,594703,504988,1108750,965954,615781,531563,1134738,990489,641589,551293,1151057,1021330,654679,571774,1193912,1070083,694326,603771,1226708,1097969,726589,630069,1266739,1127511,767442,658101,1296944,1148042,797850,678390
"제주특별자치도",171616,145314,51066,39551,181584,149454,57211,42564,185915,157540,58908,45614,195224,169625,62532,47804,206874,180785,65567,50073,221140,192403,70112,53201,233068,200437,74199,55791,241788,206816,76495,57378,246451,210089,78136,58253
