DATE,MV
1945-10-01,103694
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,97302
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,95116
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,94141
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,103822
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,126681
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,147629
1952-01-01,151463
1952-04-01,157607
1952-07-01,156907
1952-10-01,146628
1953-01-01,143052
1953-04-01,133816
1953-07-01,129274
1953-10-01,144082
1954-01-01,156255
1954-04-01,172550
1954-07-01,191985
1954-10-01,194840
1955-01-01,202122
1955-04-01,225533
1955-07-01,240995
1955-10-01,244222
1956-01-01,262345
1956-04-01,252704
1956-07-01,246833
1956-10-01,268373
1957-01-01,254023
1957-04-01,273076
1957-07-01,245392
1957-10-01,245747
1958-01-01,261319
1958-04-01,278565
1958-07-01,310541
1958-10-01,324670
1959-01-01,332012
1959-04-01,346451
1959-07-01,339875
1959-10-01,362157
1960-01-01,339310
1960-04-01,347588
1960-07-01,321285
1960-10-01,365166
1961-01-01,410353
1961-04-01,411555
1961-07-01,423621
1961-10-01,437674
1962-01-01,427931
1962-04-01,326582
1962-07-01,345363
1962-10-01,424314
1963-01-01,447981
1963-04-01,469026
1963-07-01,487677
1963-10-01,465779
1964-01-01,495027
1964-04-01,511094
1964-07-01,528953
1964-10-01,545955
1965-01-01,559834
1965-04-01,539451
1965-07-01,587928
1965-10-01,623812
1966-01-01,606267
1966-04-01,581050
1966-07-01,523227
1966-10-01,547891
1967-01-01,625556
1967-04-01,641312
1967-07-01,678588
1967-10-01,712221
1968-01-01,652734
1968-04-01,731114
1968-07-01,728536
1968-10-01,843150
1969-01-01,803399
1969-04-01,774485
1969-07-01,743955
1969-10-01,705075
1970-01-01,677754
1970-04-01,541573
1970-07-01,633467
1970-10-01,702189
1971-01-01,774490
1971-04-01,778343
1971-07-01,765304
1971-10-01,823753
1972-01-01,871948
1972-04-01,874936
1972-07-01,893435
1972-10-01,1032664
1973-01-01,970552
1973-04-01,903639
1973-07-01,953484
1973-10-01,809377
1974-01-01,784167
1974-04-01,723296
1974-07-01,540407
1974-10-01,557581
1975-01-01,684902
1975-04-01,791599
1975-07-01,701690
1975-10-01,754817
1976-01-01,868179
1976-04-01,887651
1976-07-01,897275
1976-10-01,927300
1977-01-01,856996
1977-04-01,881959
1977-07-01,845194
1977-10-01,819054
1978-01-01,773767
1978-04-01,833089
1978-07-01,895681
1978-10-01,856213
1979-01-01,910760
1979-04-01,920994
1979-07-01,980996
1979-10-01,1014625
1980-01-01,956763
1980-04-01,1076420
1980-07-01,1213806
1980-10-01,1346332
1981-01-01,1350793
1981-04-01,1315628
1981-07-01,1135956
1981-10-01,1225445
1982-01-01,1090243
1982-04-01,1073469
1982-07-01,1172612
1982-10-01,1386269
1983-01-01,1533575
1983-04-01,1736437
1983-07-01,1709243
1983-10-01,1630197
1984-01-01,1527519
1984-04-01,1455724
1984-07-01,1542913
1984-10-01,1553280
1985-01-01,1671084
1985-04-01,1743624
1985-07-01,1641750
1985-10-01,1916908
1986-01-01,2136797
1986-04-01,2244577
1986-07-01,2031804
1986-10-01,2240835
1987-01-01,2708148
1987-04-01,2783592
1987-07-01,2944431
1987-10-01,2286653
1988-01-01,2419233
1988-04-01,2514872
1988-07-01,2459275
1988-10-01,2558076
1989-01-01,2669423
1989-04-01,2835812
1989-07-01,3056089
1989-10-01,3138600
1990-01-01,3005478
1990-04-01,3134877
1990-07-01,2653601
1990-10-01,2955814
1991-01-01,3396441
1991-04-01,3354319
1991-07-01,3536308
1991-10-01,3998481
1992-01-01,3908353
1992-04-01,3870341
1992-07-01,3966349
1992-10-01,4361179
1993-01-01,4481787
1993-04-01,4502439
1993-07-01,4628385
1993-10-01,4842338
1994-01-01,4630536
1994-04-01,4541826
1994-07-01,4800739
1994-10-01,4796829
1995-01-01,5167983
1995-04-01,5594356
1995-07-01,6024123
1995-10-01,6406754
1996-01-01,6683652
1996-04-01,6988156
1996-07-01,7047824
1996-10-01,7136150.0
1997-01-01,7172828.0
1997-04-01,8281378.0
1997-07-01,8956472.0
1997-10-01,9055845.0
1998-01-01,10355601.0
1998-04-01,10582784.0
1998-07-01,9568672.0
1998-10-01,11482812.0
1999-01-01,11743420.0
1999-04-01,12769204.0
1999-07-01,12317109.0
1999-10-01,15036312.0
2000-01-01,15922815.0
2000-04-01,15221012.0
2000-07-01,14978622.0
2000-10-01,13087586.0
2001-01-01,11502240.0
2001-04-01,12377309.0
2001-07-01,10342205.0
2001-10-01,11677540.0
2002-01-01,11714607.0
2002-04-01,10113628.0
2002-07-01,8408369.0
2002-10-01,8991360.0
2003-01-01,8720675.0
2003-04-01,10022037.0
2003-07-01,10403742.0
2003-10-01,11540719.0
2004-01-01,11858412.0
2004-04-01,12121492.0
2004-07-01,11826934.0
2004-10-01,12946710.0
2005-01-01,12902601.0
2005-04-01,13112723.0
2005-07-01,13566792.0
2005-10-01,13574117.0
