DateTime,Value
1-8-07,870261.00
8-8-07,865453.00
15-8-07,864931.00
22-8-07,862775.00
29-8-07,872873.00
5-9-07,871156.00
12-9-07,886314.00
19-9-07,867732.00
26-9-07,889900.00
3-10-07,869051.00
10-10-07,886363.00
17-10-07,869509.00
24-10-07,881395.00
31-10-07,883385.00
7-11-07,885724.00
14-11-07,889537.00
21-11-07,891028.00
28-11-07,879417.00
5-12-07,882764.00
12-12-07,881750.00
19-12-07,887983.00
26-12-07,890662.00
2-1-08,922187.00
9-1-08,880754.00
16-1-08,893581.00
23-1-08,877253.00
30-1-08,900264.00
6-2-08,871022.00
13-2-08,883005.00
20-2-08,878949.00
27-2-08,893825.00
5-3-08,881208.00
12-3-08,896565.00
19-3-08,888646.00
26-3-08,893965.00
2-4-08,883708.00
9-4-08,893029.00
16-4-08,881904.00
23-4-08,885781.00
30-4-08,888131.00
7-5-08,889228.00
14-5-08,880175.00
21-5-08,898487.00
28-5-08,904054.00
4-6-08,895939.00
11-6-08,890610.00
18-6-08,902304.00
25-6-08,892713.00
2-7-08,902962.00
9-7-08,898034.00
16-7-08,910681.00
23-7-08,899665.00
30-7-08,918625.00
6-8-08,901710.00
13-8-08,914632.00
20-8-08,898611.00
27-8-08,909982.00
3-9-08,905253.00
10-9-08,925725.00
17-9-08,995093.00
24-9-08,1211825.00
1-10-08,1503989.00
8-10-08,1591587.00
15-10-08,1770809.00
22-10-08,1802602.00
29-10-08,1969086.00
5-11-08,2074205.00
12-11-08,2212852.00
19-11-08,2187137.00
26-11-08,2106117.00
3-12-08,2136924.00
10-12-08,2250012.00
17-12-08,2254983.00
24-12-08,2232311.00
31-12-08,2239457.00
7-1-09,2121439.00
14-1-09,2049714.00
21-1-09,2037112.00
28-1-09,1927082.00
4-2-09,1851437.00
11-2-09,1843400.00
18-2-09,1915562.00
25-2-09,1916115.00
4-3-09,1901317.00
11-3-09,1899514.00
18-3-09,2066942.00
25-3-09,2071556.00
1-4-09,2078936.00
8-4-09,2088573.00
15-4-09,2186498.00
22-4-09,2196812.00
29-4-09,2066712.00
6-5-09,2079758.00
13-5-09,2196351.00
20-5-09,2181632.00
27-5-09,2080115.00
3-6-09,2077695.00
10-6-09,2052297.00
17-6-09,2072527.00
24-6-09,2025571.00
1-7-09,2005627.00
8-7-09,1992740.00
15-7-09,2072451.00
22-7-09,2039001.00
29-7-09,2000547.00
5-8-09,1989203.00
12-8-09,2014899.00
19-8-09,2060641.00
26-8-09,2074902.00
2-9-09,2083720.00
9-9-09,2087946.00
16-9-09,2139783.00
23-9-09,2158631.00
30-9-09,2141020.00
7-10-09,2138086.00
14-10-09,2192787.00
21-10-09,2201119.00
28-10-09,2161537.00
4-11-09,2165067.00
11-11-09,2135035.00
18-11-09,2208721.00
25-11-09,2206359.00
2-12-09,2204074.00
9-12-09,2186383.00
16-12-09,2235763.00
23-12-09,2235803.00
30-12-09,2234067.00
6-1-10,2235304.00
13-1-10,2291700.00
20-1-10,2251806.00
27-1-10,2246886.00
3-2-10,2249319.00
10-2-10,2256679.00
17-2-10,2277574.00
24-2-10,2286127.00
3-3-10,2280147.00
10-3-10,2282474.00
17-3-10,2307997.00
24-3-10,2313149.00
31-3-10,2307150.00
7-4-10,2307575.00
14-4-10,2339345.00
21-4-10,2337556.00
28-4-10,2330472.00
5-5-10,2326164.00
12-5-10,2336103.00
19-5-10,2350890.00
26-5-10,2334041.00
2-6-10,2336216.00
9-6-10,2331529.00
16-6-10,2344316.00
23-6-10,2344497.00
30-6-10,2330851.00
7-7-10,2332017.00
14-7-10,2340717.00
21-7-10,2332322.00
28-7-10,2325298.00
4-8-10,2326479.00
11-8-10,2327533.00
18-8-10,2313662.00
25-8-10,2301015.00
1-9-10,2301996.00
8-9-10,2305802.00
15-9-10,2296079.00
22-9-10,2307171.00
29-9-10,2298691.00
6-10-10,2308092.00
13-10-10,2309885.00
20-10-10,2305227.00
27-10-10,2295392.00
3-11-10,2300353.00
10-11-10,2312768.00
17-11-10,2314757.00
24-11-10,2346001.00
1-12-10,2346920.00
8-12-10,2382294.00
15-12-10,2385754.00
22-12-10,2427921.00
29-12-10,2420570.00
5-1-11,2436064.00
12-1-11,2468131.00
19-1-11,2425164.00
26-1-11,2443527.00
2-2-11,2469419.00
9-2-11,2500481.00
16-2-11,2508868.00
23-2-11,2533221.00
2-3-11,2545119.00
9-3-11,2577076.00
16-3-11,2583046.00
23-3-11,2601341.00
30-3-11,2622523.00
6-4-11,2648676.00
13-4-11,2665408.00
20-4-11,2685782.00
27-4-11,2690985.00
4-5-11,2718757.00
11-5-11,2744498.00
18-5-11,2758009.00
25-5-11,2774996.00
1-6-11,2788723.00
8-6-11,2811206.00
15-6-11,2827549.00
22-6-11,2856403.00
29-6-11,2865251.00
6-7-11,2870103.00
13-7-11,2878074.00
20-7-11,2871301.00
27-7-11,2863576.00
3-8-11,2867215.00
10-8-11,2872423.00
17-8-11,2857906.00
24-8-11,2859433.00
31-8-11,2853888.00
7-9-11,2858660.00
14-9-11,2863540.00
21-9-11,2857747.00
28-9-11,2850921.00
5-10-11,2859701.00
12-10-11,2860822.00
19-10-11,2852390.00
26-10-11,2845685.00
2-11-11,2822034.00
9-11-11,2839786.00
16-11-11,2831576.00
23-11-11,2821980.00
30-11-11,2814235.00
7-12-11,2820691.00
14-12-11,2902488.00
21-12-11,2916085.00
28-12-11,2926095.00
4-1-12,2917689.00
11-1-12,2899149.00
18-1-12,2919423.00
25-1-12,2919545.00
1-2-12,2924947.00
8-2-12,2928275.00
15-2-12,2937893.00
22-2-12,2932813.00
29-2-12,2925722.00
7-3-12,2884747.00
14-3-12,2893560.00
21-3-12,2892646.00
28-3-12,2878137.00
4-4-12,2865478.00
11-4-12,2867200.00
18-4-12,2875470.00
25-4-12,2866561.00
2-5-12,2864280.00
9-5-12,2864150.00
16-5-12,2850984.00
23-5-12,2859495.00
30-5-12,2842654.00
6-6-12,2852018.00
13-6-12,2869071.00
20-6-12,2870846.00
27-6-12,2863547.00
4-7-12,2865858.00
11-7-12,2866279.00
18-7-12,2855807.00
25-7-12,2846757.00
1-8-12,2851118.00
8-8-12,2856181.00
15-8-12,2833317.00
22-8-12,2825661.00
29-8-12,2812806.00
5-9-12,2822169.00
12-9-12,2823448.00
19-9-12,2821574.00
26-9-12,2804457.00
3-10-12,2808512.00
10-10-12,2811623.00
17-10-12,2846920.00
24-10-12,2840964.00
31-10-12,2823137.00
7-11-12,2830791.00
14-11-12,2877244.00
21-11-12,2871161.00
28-11-12,2851362.00
5-12-12,2859807.00
12-12-12,2917260.00
19-12-12,2920231.00
26-12-12,2907300.00
2-1-13,2917189.00
9-1-13,2928728.00
16-1-13,2963812.00
23-1-13,3011697.00
30-1-13,3008704.00
6-2-13,3014975.00
13-2-13,3074225.00
20-2-13,3095150.00
27-2-13,3090600.00
6-3-13,3108805.00
13-3-13,3165396.00
20-3-13,3206888.00
27-3-13,3202256.00
3-4-13,3215432.00
10-4-13,3227762.00
17-4-13,3295109.00
24-4-13,3318649.00
1-5-13,3317194.00
8-5-13,3324615.00
15-5-13,3354269.00
22-5-13,3398713.00
29-5-13,3385128.00
5-6-13,3400183.00
12-6-13,3410842.00
19-6-13,3470530.00
26-6-13,3478672.00
3-7-13,3492742.00
10-7-13,3504095.00
17-7-13,3537861.00
24-7-13,3574574.00
31-7-13,3571797.00
7-8-13,3585359.00
14-8-13,3646323.00
21-8-13,3645668.00
28-8-13,3644456.00
4-9-13,3654182.00
11-9-13,3662035.00
18-9-13,3722192.00
25-9-13,3734018.00
2-10-13,3747387.00
9-10-13,3758663.00
16-10-13,3813599.00
23-10-13,3839033.00
30-10-13,3843396.00
6-11-13,3851623.00
13-11-13,3907424.00
20-11-13,3906620.00
27-11-13,3925876.00
4-12-13,3932626.00
11-12-13,3993955.00
