No,자료시점,합계,합계,35% 이하,35% 이하,35%초과 ~ 40%이하,35%초과 ~ 40%이하,40%초과 ~ 45%이하,40%초과 ~ 45%이하,45%초과 ~ 50%이하,45%초과 ~ 50%이하,50%초과 ~ 55%이하,50%초과 ~ 55%이하,55%초과 ~ 60%이하,55%초과 ~ 60%이하,60%초과 ~ 65%이하,60%초과 ~ 65%이하,65% 초과,65% 초과
No,자료시점,대출금액,대출잔액,대출금액,대출잔액,대출금액,대출잔액,대출금액,대출잔액,대출금액,대출잔액,대출금액,대출잔액,대출금액,대출잔액,대출금액,대출잔액,대출금액,대출잔액
No,자료시점,억원,억원,억원,억원,억원,억원,억원,억원,억원,억원,억원,억원,억원,억원,억원,억원,억원,억원
No,자료시점,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,2004/03,351.11,0.52,13.19,0,4.66,0.04,13.7,0,12.9,0,25.7,0,101.94,0.16,35.07,0.05,143.95,0.27
2,2004/04,"3,611.2",4.04,103.77,0.13,64.37,0.24,64.03,0,143.77,0,195.37,0.14,"1,184.13",1.74,309.56,0.79,"1,546.2",0.98
3,2004/05,"4,558.01",5.19,147.53,0.14,84.02,0.16,111.35,0.1,157.95,0.15,253.55,0.18,"1,558.41",1.88,416.74,1.27,"1,828.46",1.32
4,2004/06,"3,944.02",3.55,122.9,0.1,63.52,0,77.21,0.09,154.31,0.12,221.6,0.24,"1,421.39",0.78,343.98,0.19,"1,539.11",2.03
5,2004/07,"3,380.33",3.52,109.47,0.1,54.81,0.07,68.28,0.03,135.57,0.12,187.15,0.19,"1,277.01",1.31,334.61,0.53,"1,213.45",1.18
6,2004/08,"3,282.25",5.16,116.78,0.19,45.59,0,64.08,0.12,107.5,0.17,184.28,0.3,"1,265.49",1.6,306.09,1,"1,192.44",1.79
7,2004/09,"2,890.79",3.64,68.57,0,36.47,0,48.41,0.18,96.98,0,151.92,0.16,"1,165.81",1.47,257.85,0.23,"1,064.78",1.6
8,2004/10,"3,445.77",5.47,73.38,0.35,38.35,0,44.77,0,114.62,0.11,194.7,0.15,"1,343.55",1.99,341.75,0.53,"1,294.67",2.34
9,2004/11,"3,565.52",7.38,65.98,0.1,41.76,0.1,61.93,0.51,122.36,0.08,189.5,0.3,"1,393.64",3.28,309.61,1.09,"1,380.74",1.95
10,2004/12,"4,285.89",16.02,95.55,0,47.29,0.15,76.09,0.15,136.69,0.58,203.37,0.28,"1,690.73",6.53,359.65,1.14,"1,676.52",7.19
11,2005/01,"3,443.46",17.24,74.62,0.32,47.46,0.12,57.12,0.21,113.16,0.14,173.15,0.15,"1,345.58",10.86,293.06,0.57,"1,339.32",4.88
12,2005/02,"4,840.47",16.39,139.95,0.25,60.34,0.18,107.61,0.25,169.8,0.04,280.13,0.39,"1,743.97",11.54,430.12,1.47,"1,908.56",2.26
13,2005/03,"6,923.33",18.35,199.78,0.56,91.29,0,119.15,0.21,222.88,1.2,373.27,0.39,"2,468.29",8.14,642.78,3.13,"2,805.89",4.73
14,2005/04,"5,706.94",15.2,131.5,0.41,66.12,0.47,91.41,0.06,178.4,0.16,304.72,0.83,"1,940.79",7.75,550.11,1.65,"2,443.89",3.86
15,2005/05,"3,927.4",11.78,70.17,0.13,43.73,0.09,51.32,0.15,87.93,0.09,176.23,0.12,"1,317.39",7.46,368.96,0.7,"1,811.67",3.03
16,2005/06,"3,712.56",14.4,63.19,0.08,31.93,0.03,44.68,0.11,90.37,0.37,154.47,0.14,"1,285.72",8.98,377.38,2.17,"1,664.82",2.52
17,2005/07,"3,087.12",17.13,55.28,0.05,26.07,0,31.79,0,78.13,0.43,115.7,0.67,"1,022.61",14.41,265.32,0.24,"1,492.22",1.33
18,2005/08,"3,164.95",5.7,125.56,0.75,21.54,0,32.97,0,67,0.13,108.01,0.24,953.03,1.51,290.96,1.22,"1,565.89",1.84
19,2005/09,"2,649.32",6.32,108.94,0.24,28.25,0.08,31.98,0.33,62.85,0.06,96.23,0.13,716.24,1.27,248.48,1.25,"1,356.36",2.96
20,2005/10,"1,928.24",5.4,48.62,0.28,20.48,0,21.59,0.05,38.73,0.11,72.19,0.09,478.01,2.13,178.89,0.59,"1,069.73",2.15
21,2005/11,"1,435.57",5.44,11.11,0,16.56,0,14.91,0,33.57,0.05,28.44,0.08,278.77,1.68,122.03,1.55,930.18,2.08
22,2005/12,"1,484.93",4.07,23.4,0,13.23,0,13.13,0.16,23.42,0.11,43.13,0.11,269.77,0.9,102.1,0.53,996.75,2.26
