DateTime,Value
2017-01-01,14182
2017-01-02,14216
2017-01-03,14219
2017-01-04,14217
2017-01-05,14217
2017-01-06,14226
2017-01-07,14203
2017-01-08,14201
2017-01-09,14209
2017-01-10,14213
2017-01-11,14236
2017-01-12,14220
2017-01-13,14207
2017-01-14,14205
2017-01-15,14202
2017-01-16,14203
2017-01-17,14184
2017-01-18,14184
2017-01-19,14165
2017-01-20,14142
2017-01-21,14134
2017-01-22,14130
2017-01-23,14138
2017-01-24,14135
2017-01-25,14140
2017-01-26,14134
2017-01-27,14134
2017-01-28,14154
2017-01-29,14161
2017-01-30,14164
2017-01-31,14186
2017-02-01,14176
2017-02-02,14181
2017-02-03,14183
2017-02-04,14140
2017-02-05,14148
2017-02-06,14146
2017-02-07,14148
2017-02-08,14148
2017-02-09,14152
2017-02-10,14148
2017-02-11,14149
2017-02-12,14152
2017-02-13,14163
2017-02-14,14167
2017-02-15,14168
2017-02-16,14186
2017-02-17,14174
2017-02-18,14192
2017-02-19,14194
2017-02-20,14196
2017-02-21,14201
2017-02-22,14205
2017-02-23,14197
2017-02-24,14209
2017-02-25,14218
2017-02-26,14212
2017-02-27,14205
2017-02-28,14195
2017-03-01,14175
2017-03-02,14168
2017-03-03,14167
2017-03-04,14162
2017-03-05,14156
2017-03-06,14180
2017-03-07,14179
2017-03-08,14195
2017-03-09,14198
2017-03-10,14190
2017-03-11,14193
2017-03-12,14191
2017-03-13,14205
2017-03-14,14204
2017-03-15,14205
2017-03-16,14184
2017-03-17,14179
2017-03-18,14180
2017-03-19,14128
2017-03-20,14127
2017-03-21,14134
2017-03-22,14133
2017-03-23,14134
2017-03-24,14133
2017-03-25,14134
2017-03-26,14136
2017-03-27,14133
2017-03-28,14140
2017-03-29,14146
2017-03-30,14164
2017-03-31,14165
2017-04-01,14163
2017-04-02,14180
2017-04-03,14191
2017-04-04,14189
2017-04-05,14181
2017-04-06,14191
2017-04-07,14183
2017-04-08,14146
2017-04-09,14165
2017-04-10,14159
2017-04-11,14171
2017-04-12,14141
2017-04-13,14152
2017-04-14,14156
2017-04-15,14164
