발표일,실제
2022년 10월 13일 (9월),8.20%
2022년 09월 13일 (8월),8.30%
2022년 08월 10일 (7월),8.50%
2022년 07월 13일 (6월),9.10%
2022년 06월 10일 (5월),8.60%
2022년 05월 11일 (4월),8.30%
2022년 04월 12일 (3월),8.50%
2022년 03월 10일 (2월),7.90%
2022년 02월 10일 (1월),7.50%
2022년 01월 12일 (12월),7.00%
2021년 12월 10일 (11월),6.80%
2021년 11월 10일 (10월),6.20%
2021년 10월 13일 (9월),5.40%
2021년 09월 14일 (8월),5.30%
2021년 08월 11일 (7월),5.40%
2021년 07월 13일 (6월),5.40%
2021년 06월 10일 (5월),5.00%
2021년 05월 12일 (4월),4.20%
2021년 04월 13일 (3월),2.60%
2021년 03월 10일 (2월),1.70%
2021년 02월 10일 (1월),1.40%
2021년 01월 13일 (12월),1.40%
2020년 12월 10일 (11월),1.20%
2020년 11월 12일 (10월),1.20%
2020년 10월 13일 (9월),1.40%
2020년 09월 11일 (8월),1.30%
2020년 08월 12일 (7월),1.00%
2020년 07월 14일 (6월),0.60%
2020년 06월 10일 (5월),0.10%
2020년 05월 12일 (4월),0.30%
2020년 04월 10일 (3월),1.50%
2020년 03월 11일 (2월),2.30%
2020년 02월 13일 (1월),2.50%
2020년 01월 14일 (12월),2.30%
2019년 12월 11일 (11월),2.10%
2019년 11월 13일 (10월),1.80%
2019년 10월 10일 (9월),1.70%
2019년 09월 12일 (8월),1.70%
2019년 08월 13일 (7월),1.80%
2019년 07월 11일 (6월),1.60%
2019년 06월 12일 (5월),1.80%
2019년 05월 10일 (4월),2.00%
2019년 04월 10일 (3월),1.90%
2019년 03월 12일 (2월),1.50%
2019년 02월 13일 (1월),1.60%
2019년 01월 11일 (12월),1.90%
2018년 12월 12일 (11월),2.20%
2018년 11월 14일 (10월),2.50%
2018년 10월 11일 (9월),2.30%
2018년 09월 13일 (8월),2.70%
2018년 08월 10일 (7월),2.90%
2018년 07월 12일 (6월),2.90%
2018년 06월 12일 (5월),2.80%
2018년 05월 10일 (4월),2.50%
2018년 04월 11일 (3월),2.40%
2018년 03월 13일 (2월),2.20%
2018년 02월 14일 (1월),2.10%
2018년 01월 12일 (12월),2.10%
2017년 12월 13일 (11월),2.20%
2017년 11월 15일 (10월),2.00%
2017년 10월 13일 (9월),2.20%
2017년 09월 14일 (8월),1.90%
2017년 08월 11일 (7월),1.70%
2017년 07월 14일 (6월),1.60%
2017년 06월 14일 (5월),1.90%
2017년 05월 12일 (4월),2.20%
2017년 04월 14일 (3월),2.40%
2017년 03월 15일 (2월),2.70%
2017년 02월 15일 (1월),2.50%
2017년 01월 18일 (12월),2.10%
2016년 12월 15일 (11월),1.70%
2016년 11월 17일 (10월),1.60%
2016년 10월 18일 (9월),1.50%
2016년 09월 16일 (8월),1.10%
2016년 08월 16일 (7월),0.80%
2016년 07월 15일 (6월),1.00%
2016년 06월 16일 (5월),1.00%
2016년 05월 17일 (4월),1.10%
2016년 04월 14일 (3월),0.90%
2016년 03월 16일 (2월),1.00%
2016년 02월 19일 (1월),1.40%
2016년 01월 20일 (12월),0.70%
2015년 12월 15일 (11월),0.50%
2015년 11월 17일 (10월),0.20%
2015년 10월 15일 (9월),0.00%
2015년 09월 16일 (8월),0.20%
2015년 08월 19일 (7월),0.20%
2015년 07월 17일 (6월),0.10%
2015년 06월 18일 (5월),0.00%
2015년 05월 22일 (4월),-0.20%
2015년 04월 17일 (3월),-0.10%
2015년 03월 24일 (2월),0.00%
2015년 02월 26일 (1월),-0.10%
2015년 01월 16일 (12월),0.80%
2014년 12월 17일 (11월),1.30%
2014년 11월 20일 (10월),1.70%
2014년 10월 22일 (9월),1.70%
2014년 09월 17일 (8월),1.70%
2014-08-19,2.00%
2014-07-22,2.10%
2014-06-17,2.10%
2014-05-15,2.00%
2014-04-15,1.50%
2014-03-18,1.10%
2014-02-20,1.60%
2014-01-16,1.50%
2013-12-17,1.20%
2013-11-20,1.00%
2013-10-30,1.20%
2013-09-17,1.50%
2013-08-15,2.00%
2013-07-16,1.80%
2013-06-18,1.40%
2013-05-16,1.10%
2013-04-16,1.50%
2013-03-15,2.00%
2013-02-21,1.60%
2013-01-16,1.70%
2012-12-14,1.80%
2012-11-15,2.20%
2012-10-16,2.00%
2012-09-14,1.70%
2012-08-15,1.40%
2012-07-17,1.70%
2012-06-14,1.70%
2012-05-15,2.30%
2012년 04월 13일 (3월),2.70%
2012년 03월 16일 (2월),2.90%
2012년 02월 17일 (1월),2.90%
2012년 01월 19일 (12월),3.00%
2011년 12월 16일 (11월),3.40%
2011년 11월 16일 (10월),3.50%
2011년 10월 19일 (9월),3.90%
2011년 09월 15일 (8월),3.80%
2011년 08월 18일 (7월),3.60%
2011년 07월 15일 (6월),3.60%
2011년 06월 15일 (5월),3.60%
2011년 05월 13일 (4월),3.20%
2011년 04월 15일 (3월),2.70%
2011년 03월 17일 (2월),2.10%
2011년 02월 17일 (1월),1.60%
2011년 01월 14일 (12월),1.50%
2010년 12월 15일 (11월),1.10%
2010년 11월 17일 (10월),1.20%
2010년 10월 15일 (9월),1.10%
2010년 09월 17일 (8월),1.10%
2010년 08월 13일 (7월),1.20%
2010년 07월 16일 (6월),1.10%
2010년 06월 17일 (5월),2.00%
2010년 05월 19일 (4월),2.20%
2010년 04월 14일 (3월),2.30%
2010년 03월 18일 (2월),2.10%
2010년 02월 19일 (1월),2.60%
2010년 01월 15일 (12월),2.70%
2009년 12월 16일 (11월),1.80%
2009년 11월 18일 (10월),-0.20%
2009년 10월 15일 (9월),-1.30%
2009년 09월 16일 (8월),-1.50%
2009년 08월 14일 (7월),-2.10%
2009년 07월 15일 (6월),-1.40%
2009년 06월 17일 (5월),-1.30%
2009년 05월 15일 (4월),-0.70%
2009년 04월 15일 (3월),-0.40%
2009년 03월 18일 (2월),0.20%
2009년 02월 20일 (1월),0.00%
2009년 01월 16일 (12월),0.10%
2008년 12월 16일 (11월),1.10%
2008년 11월 19일 (10월),3.70%
