"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 10월","113.202","112.213","113.835","109.970","47.79K","1.00%"
"2022년 9월","112.084","108.825","114.745","107.670","978.68K","3.15%"
"2022년 8월","108.665","105.730","109.445","104.515","760.63K","2.73%"
"2022년 7월","105.779","104.515","109.140","104.515","700.00K","1.26%"
"2022년 6월","104.464","101.770","105.565","101.660","582.38K","2.65%"
"2022년 5월","101.766","103.225","105.065","101.300","535.79K","-1.16%"
"2022년 4월","102.963","98.360","103.950","98.345","527.18K","4.68%"
"2022년 3월","98.360","96.810","99.425","96.625","528.85K","1.72%"
"2022년 2월","96.694","96.695","97.735","95.145","540.41K","0.16%"
"2022년 1월","96.537","95.600","97.440","94.610","393.44K","0.99%"
"2021년 12월","95.593","95.960","96.895","95.575","329.52K","-0.43%"
"2021년 11월","96.007","94.120","96.940","93.800","429.29K","2.00%"
"2021년 10월","94.121","94.320","94.570","93.265","504.97K","-0.13%"
"2021년 9월","94.240","92.670","94.520","91.800","507.70K","1.73%"
"2021년 8월","92.635","92.150","93.750","91.820","392.94K","0.48%"
"2021년 7월","92.188","92.355","93.195","91.780","434.78K","-0.26%"
"2021년 6월","92.431","89.795","92.440","89.650","470.42K","2.71%"
"2021년 5월","89.993","91.270","91.435","89.515","527.66K","-1.40%"
"2021년 4월","91.270","93.230","93.365","90.395","470.77K","-2.11%"
"2021년 3월","93.236","90.900","93.470","90.635","667.15K","2.59%"
"2021년 2월","90.882","90.545","91.605","89.675","562.28K","0.35%"
"2021년 1월","90.569","89.870","90.940","89.165","529.07K","0.75%"
"2020년 12월","89.894","91.900","91.915","89.475","473.93K","-2.14%"
"2020년 11월","91.858","94.095","94.330","91.490","474.40K","-2.32%"
"2020년 10월","94.042","93.865","94.140","92.460","450.49K","0.12%"
"2020년 9월","93.927","92.170","94.795","91.725","489.92K","1.95%"
"2020년 8월","92.131","93.390","93.980","91.990","471.47K","-1.28%"
"2020년 7월","93.321","97.375","97.615","92.510","432.81K","-4.14%"
"2020년 6월","97.349","98.265","98.335","95.705","385.76K","-1.01%"
"2020년 5월","98.341","99.130","100.605","97.935","305.48K","-0.69%"
"2020년 4월","99.028","99.025","101.030","98.815","288.23K","-0.06%"
"2020년 3월","99.092","97.985","103.960","94.610","680.13K","1.03%"
"2020년 2월","98.081","97.245","99.815","97.230","352.62K","0.89%"
"2020년 1월","97.213","96.140","98.005","96.100","276.75K","1.20%"
"2019년 12월","96.058","98.210","98.320","96.020","279.73K","-2.18%"
"2019년 11월","98.202","97.110","98.495","96.960","229.80K","1.08%"
"2019년 10월","97.154","99.035","99.305","96.885","390.00K","-1.89%"
"2019년 9월","99.021","98.795","99.330","97.735","330.97K","0.16%"
"2019년 8월","98.860","98.365","98.970","96.980","375.47K","0.61%"
"2019년 7월","98.258","95.775","98.445","95.775","350.77K","2.71%"
"2019년 6월","95.666","97.700","97.720","95.365","448.25K","-2.05%"
"2019년 5월","97.666","97.230","98.260","96.810","291.45K","0.48%"
"2019년 4월","97.201","96.795","98.085","96.365","274.91K","0.37%"
"2019년 3월","96.845","96.165","97.665","95.170","384.08K","0.84%"
"2019년 2월","96.043","95.290","97.230","95.110","331.80K","0.78%"
"2019년 1월","95.304","95.690","96.560","94.635","467.04K","-0.45%"
"2018년 12월","95.735","97.055","97.705","95.585","401.49K","-1.50%"
"2018년 11월","97.196","96.885","97.530","95.485","482.09K","0.30%"
"2018년 10월","96.901","94.710","96.980","94.470","502.98K","2.28%"
"2018년 9월","94.737","95.115","95.680","93.395","411.38K","-0.36%"
"2018년 8월","95.083","94.355","96.865","94.290","461.68K","0.86%"
"2018년 7월","94.275","94.300","95.440","93.440","412.48K","-0.08%"
"2018년 6월","94.349","93.960","95.255","93.180","446.09K","0.42%"
"2018년 5월","93.959","91.620","94.975","91.595","601.07K","2.54%"
"2018년 4월","91.630","89.680","91.790","88.945","478.85K","2.02%"
"2018년 3월","89.812","90.655","90.885","88.530","512.74K","-0.82%"
"2018년 2월","90.551","88.935","90.650","88.150","538.70K","1.80%"
"2018년 1월","88.954","91.895","92.360","88.255","591.43K","-3.13%"
"2017년 12월","91.826","92.905","94.210","91.805","367.70K","-1.26%"
"2017년 11월","93.002","94.415","95.070","92.430","413.81K","-1.51%"
"2017년 10월","94.429","92.965","95.060","92.590","477.95K","1.66%"
"2017년 9월","92.883","92.600","93.495","90.990","609.56K","0.28%"
"2017년 8월","92.628","92.805","94.055","91.550","579.14K","-0.10%"
"2017년 7월","92.718","95.405","96.255","92.635","456.92K","-2.83%"
"2017년 6월","95.421","96.955","97.555","95.225","530.87K","-1.48%"
"2017년 5월","96.854","98.930","99.765","96.700","593.68K","-2.07%"
"2017년 4월","98.898","100.405","101.265","98.565","469.32K","-1.32%"
"2017년 3월","100.218","101.475","102.270","98.670","706.02K","-0.90%"
"2017년 2월","101.129","99.580","101.750","99.195","673.84K","1.66%"
"2017년 1월","99.481","102.815","103.815","99.400","888.32K","-2.74%"
"2016년 12월","102.286","101.560","103.625","99.490","719.09K","0.74%"
"2016년 11월","101.539","98.390","102.120","95.905","847.10K","3.17%"
"2016년 10월","98.422","95.435","99.090","95.390","511.68K","3.18%"
"2016년 9월","95.385","96.015","96.305","94.440","459.33K","-0.65%"
"2016년 8월","96.012","95.490","96.500","94.050","406.89K","0.55%"
"2016년 7월","95.491","95.955","97.620","95.335","404.80K","-0.74%"
"2016년 6월","96.203","95.800","96.865","93.025","574.58K","0.34%"
"2016년 5월","95.878","92.995","95.960","91.880","394.72K","3.03%"
"2016년 4월","93.054","94.620","95.210","92.975","487.38K","-1.61%"
"2016년 3월","94.578","98.205","98.595","94.295","462.49K","-3.71%"
"2016년 2월","98.219","99.700","99.750","95.280","580.15K","-1.44%"
"2016년 1월","99.652","98.760","99.950","98.110","674.88K","0.92%"
"2015년 12월","98.745","100.250","100.600","97.210","656.50K","-1.46%"
"2015년 11월","100.210","96.815","100.360","96.710","561.73K","3.29%"
"2015년 10월","97.019","96.400","97.895","93.830","647.74K","0.56%"
"2015년 9월","96.480","95.890","96.880","94.195","790.53K","0.65%"
"2015년 8월","95.854","97.305","98.425","92.520","1.08M","-1.63%"
"2015년 7월","97.439","95.795","98.310","95.555","862.37K","1.86%"
"2015년 6월","95.661","96.990","97.760","93.300","1.08M","-1.37%"
"2015년 5월","96.986","94.940","97.880","93.155","1.00M","2.40%"
"2015년 4월","94.714","98.730","100.270","94.470","1.15M","-4.00%"
"2015년 3월","98.661","95.375","100.380","94.765","1.23M","3.50%"
"2015년 2월","95.321","94.905","95.440","93.385","647.34K","0.34%"
"2015년 1월","94.998","90.810","95.850","90.800","933.32K","4.80%"
"2014년 12월","90.647","88.370","90.665","87.805","758.68K","2.53%"
"2014년 11월","88.413","87.130","88.515","86.975","717.09K","1.61%"
"2014년 10월","87.016","86.050","87.245","84.525","938.40K","1.13%"
"2014년 9월","86.047","82.780","86.335","82.695","686.68K","3.94%"
"2014년 8월","82.783","81.530","82.790","81.265","434.38K","1.55%"
"2014년 7월","81.523","79.840","81.660","79.770","388.36K","2.15%"
"2014년 6월","79.811","80.405","81.065","79.800","410.87K","-0.74%"
"2014년 5월","80.404","79.570","80.630","78.930","354.14K","1.10%"
"2014년 4월","79.532","80.255","80.770","79.385","319.79K","-0.90%"
"2014년 3월","80.254","79.855","80.575","79.275","420.41K","0.67%"
"2014년 2월","79.720","81.385","81.420","79.700","377.95K","-2.07%"
"2014년 1월","81.403","80.430","81.525","80.220","496.85K","1.51%"
"2013년 12월","80.189","80.685","81.015","79.500","392.46K","-0.58%"
"2013년 11월","80.657","80.330","81.580","80.320","403.31K","0.49%"
"2013년 10월","80.263","80.350","80.865","79.060","402.39K","-0.07%"
"2013년 9월","80.323","82.120","82.780","80.115","510.73K","-2.21%"
"2013년 8월","82.142","81.760","82.610","80.770","673.43K","0.74%"
"2013년 7월","81.539","83.410","84.965","81.480","790.94K","-2.20%"
"2013년 6월","83.376","83.355","83.595","80.505","903.74K","-0.03%"
"2013년 5월","83.401","81.740","84.595","81.370","878.96K","1.95%"
"2013년 4월","81.807","83.175","83.660","81.640","618.75K","-1.64%"
"2013년 3월","83.175","82.010","83.520","81.830","556.18K","1.43%"
"2013년 2월","82.003","79.140","82.075","78.915","641.62K","3.51%"
"2013년 1월","79.226","79.620","80.995","79.160","579.50K","-0.81%"
"2012년 12월","79.871","80.195","80.975","79.015","396.45K","-0.36%"
"2012년 11월","80.163","79.990","81.515","79.925","431.74K","0.22%"
"2012년 10월","79.987","80.045","80.425","78.970","395.86K","-0.05%"
"2012년 9월","80.025","81.210","81.675","78.600","384.62K","-1.47%"
"2012년 8월","81.216","82.780","83.610","80.960","414.15K","-1.81%"
"2012년 7월","82.710","81.730","84.245","81.655","449.02K","1.17%"
"2012년 6월","81.753","83.210","83.670","81.225","628.71K","-1.66%"
"2012년 5월","83.129","78.875","83.295","78.665","669.29K","5.43%"
"2012년 4월","78.848","79.035","80.365","78.685","390.03K","-0.37%"
"2012년 3월","79.138","78.800","80.725","78.690","506.53K","0.44%"
"2012년 2월","78.794","79.480","80.240","78.120","553.78K","-0.78%"
"2012년 1월","79.417","80.155","82.045","78.855","425.71K","-1.37%"
"2011년 12월","80.522","78.485","81.310","78.060","402.07K","2.59%"
"2011년 11월","78.491","76.630","79.875","76.595","530.53K","2.86%"
"2011년 10월","76.306","79.440","80.430","74.860","658.66K","-3.50%"
"2011년 9월","79.075","74.235","79.645","74.200","711.88K","6.61%"
"2011년 8월","74.173","74.130","75.645","73.515","634.35K","0.19%"
"2011년 7월","74.036","74.820","77.175","73.585","578.63K","-0.80%"
"2011년 6월","74.635","74.525","76.590","73.515","687.92K","-0.08%"
"2011년 5월","74.696","73.185","76.540","72.860","815.51K","2.17%"
"2011년 4월","73.107","76.300","76.870","73.015","467.91K","-3.90%"
"2011년 3월","76.072","76.855","77.550","75.590","595.87K","-1.10%"
"2011년 2월","76.921","77.760","78.980","76.780","407.93K","-1.21%"
"2011년 1월","77.865","79.310","81.635","77.665","494.63K","-1.79%"
"2010년 12월","79.288","81.335","81.435","79.025","412.78K","-2.44%"
"2010년 11월","81.271","77.105","81.525","75.235","576.63K","4.92%"
"2010년 10월","77.457","78.990","79.015","75.850","524.89K","-1.88%"
"2010년 9월","78.938","83.180","83.265","78.620","466.55K","-5.18%"
"2010년 8월","83.254","81.570","83.635","80.170","443.72K","1.96%"
"2010년 7월","81.655","86.450","86.545","81.565","414.56K","-5.36%"
"2010년 6월","86.281","86.725","88.800","85.360","448.83K","-0.45%"
"2010년 5월","86.670","82.050","87.625","81.870","707.64K","5.71%"
"2010년 4월","81.991","81.215","82.870","80.140","456.19K","0.86%"
"2010년 3월","81.291","80.535","82.520","79.650","551.28K","1.06%"
"2010년 2월","80.440","79.610","81.430","78.830","511.18K","0.99%"
"2010년 1월","79.650","78.355","79.680","76.740","369.13K","1.83%"
"2009년 12월","78.220","74.845","78.770","74.310","392.18K","4.38%"
"2009년 11월","74.935","76.475","77.500","74.210","345.60K","-2.01%"
"2009년 10월","76.475","76.870","77.720","75.085","264.57K","-0.50%"
"2009년 9월","76.860","78.170","79.010","76.045","184.61K","-1.74%"
"2009년 8월","78.220","78.160","79.695","77.520","140.29K","-0.29%"
"2009년 7월","78.450","80.385","81.165","78.310","122.71K","-2.46%"
"2009년 6월","80.425","79.305","81.795","78.375","169.49K","1.25%"
"2009년 5월","79.430","84.900","85.030","79.255","125.98K","-6.30%"
"2009년 4월","84.775","86.010","87.220","84.035","104.13K","-1.30%"
"2009년 3월","85.895","88.400","89.710","83.145","143.40K","-2.56%"
"2009년 2월","88.150","86.685","88.675","84.665","103.45K","1.95%"
"2009년 1월","86.460","82.195","87.405","81.990","80.85K","5.25%"
"2008년 12월","82.150","86.580","87.850","79.500","99.22K","-5.25%"
"2008년 11월","86.705","86.345","89.250","84.455","79.79K","0.42%"
"2008년 10월","86.345","79.180","88.495","79.045","142.52K","8.80%"
"2008년 9월","79.360","77.330","80.395","76.025","195.82K","2.40%"
"2008년 8월","77.500","73.425","77.710","73.365","141.47K","5.56%"
"2008년 7월","73.420","72.750","73.735","71.555","115.95K","0.85%"
"2008년 6월","72.800","72.950","74.320","72.170","129.35K","-0.21%"
"2008년 5월","72.950","72.750","74.065","71.915","130.90K","0.32%"
"2008년 4월","72.720","72.230","74.500","71.050","124.05K","0.77%"
"2008년 3월","72.165","73.650","74.000","70.805","139.77K","-2.15%"
"2008년 2월","73.750","75.350","77.195","73.630","74.48K","-2.04%"
"2008년 1월","75.285","76.740","77.500","74.660","69.47K","-1.84%"
"2007년 12월","76.700","76.100","77.860","75.615","51.55K","0.70%"
"2007년 11월","76.170","76.570","76.820","74.760","56.40K","-0.38%"
"2007년 10월","76.460","77.670","78.800","76.430","55.74K","-1.50%"
"2007년 9월","77.625","80.755","81.100","77.580","86.47K","-3.86%"
"2007년 8월","80.745","80.770","82.000","79.855","82.49K","0.11%"
"2007년 7월","80.660","81.655","81.680","79.870","85.25K","-1.26%"
"2007년 6월","81.690","82.230","83.260","81.660","81.00K","-0.68%"
"2007년 5월","82.250","81.250","82.500","81.100","46.04K","1.17%"
"2007년 4월","81.300","82.640","82.970","81.100","44.40K","-1.65%"
"2007년 3월","82.660","83.530","84.360","82.380","64.61K","-1.01%"
"2007년 2월","83.500","84.480","85.090","83.320","67.22K","-1.10%"
"2007년 1월","84.430","83.190","85.250","82.900","56.48K","1.20%"
"2006년 12월","83.430","82.810","84.190","82.180","65.07K","0.70%"
"2006년 11월","82.850","85.070","85.770","82.700","61.42K","-2.66%"
"2006년 10월","85.110","85.720","87.080","84.980","80.30K","-0.67%"
"2006년 9월","85.680","84.990","86.140","84.560","74.68K","0.78%"
"2006년 8월","85.020","85.090","85.550","84.170","47.59K","-0.08%"
"2006년 7월","85.090","84.830","87.050","84.420","72.81K","0.22%"
"2006년 6월","84.900","84.630","86.680","83.660","99.88K","0.30%"
"2006년 5월","84.650","85.690","86.100","83.410","84.03K","-1.43%"
"2006년 4월","85.880","89.390","90.030","85.770","87.46K","-3.93%"
"2006년 3월","89.390","90.020","91.180","88.450","125.30K","-0.77%"
"2006년 2월","90.080","88.830","90.940","88.750","94.66K","1.43%"
"2006년 1월","88.810","90.490","90.680","87.690","73.43K","-2.36%"
"2005년 12월","90.960","91.500","92.330","89.490","103.29K","-0.60%"
"2005년 11월","91.510","89.940","92.530","89.450","109.35K","1.76%"
"2005년 10월","89.930","89.270","90.550","88.350","108.21K","0.65%"
"2005년 9월","89.350","87.510","89.600","85.970","86.30K","2.07%"
"2005년 8월","87.540","89.260","89.350","86.690","93.60K","-1.89%"
"2005년 7월","89.230","89.010","90.660","88.150","57.20K","0.28%"
"2005년 6월","88.980","87.730","89.350","87.120","72.07K","1.34%"
"2005년 5월","87.800","84.470","87.800","83.720","71.77K","4.00%"
"2005년 4월","84.420","84.100","85.310","83.310","60.14K","0.44%"
"2005년 3월","84.050","82.680","84.750","81.270","63.82K","1.87%"
"2005년 2월","82.510","83.570","85.460","82.280","54.02K","-1.35%"
"2005년 1월","83.640","81.110","84.140","81.110","59.05K","3.26%"
"2004년 12월","81.000","81.870","83.060","80.480","70.17K","-1.00%"
"2004년 11월","81.820","84.760","85.680","81.600","50.16K","-3.72%"
"2004년 10월","84.980","87.520","88.790","84.850","47.93K","-2.89%"
"2004년 9월","87.510","89.000","89.800","87.490","41.38K","-1.63%"
"2004년 8월","88.960","89.980","90.340","87.730","37.00K","-1.28%"
"2004년 7월","90.110","89.070","90.490","87.200","56.84K","1.25%"
"2004년 6월","89.000","88.680","90.770","88.060","47.90K","0.02%"
"2004년 5월","88.980","90.810","92.500","88.590","59.18K","-1.87%"
"2004년 4월","90.680","87.900","91.790","87.300","50.79K","3.10%"
"2004년 3월","87.950","87.110","89.950","87.110","59.96K","0.61%"
"2004년 2월","87.420","87.340","88.130","84.770","52.09K","0.00%"
"2004년 1월","87.420","87.070","88.170","85.100","49.34K","0.18%"
"2003년 12월","87.260","90.150","90.600","86.700","44.66K","-3.35%"
"2003년 11월","90.280","92.860","94.320","90.130","48.76K","-2.80%"
"2003년 10월","92.880","93.110","93.620","91.230","39.62K","-0.34%"
"2003년 9월","93.200","98.200","99.400","92.430","44.38K","-4.99%"
"2003년 8월","98.100","97.030","99.570","95.670","19.51K","0.99%"
"2003년 7월","97.140","94.860","97.800","94.300","37.08K","2.13%"
"2003년 6월","95.110","93.810","95.700","92.200","48.34K","1.93%"
"2003년 5월","93.310","97.350","97.430","92.350","28.04K","-4.18%"
"2003년 4월","97.380","99.340","102.190","97.320","30.96K","-2.12%"
"2003년 3월","99.490","99.750","102.680","97.620","43.89K","-0.32%"
