날짜,시간,실제,이전
2022- 07- 27,22:00,395.2,397.6
2022- 06- 30,22:00,398.0,397.6
2022- 05- 26,22:00,398.1,392.7
2022- 04- 28,22:00,392.9,386.8
2022- 03- 31,22:00,386.5,381.0
2022- 02- 26,22:00,381.4,373.7
2022- 01- 29,22:00,373.3,367.6
2022- 12- 22,23:00,367.2,362.8
2022- 11- 25,23:00,362.4,358.4
2021- 10- 28,23:00,358.3,354.4
2021- 09- 30,23:00,354.6,351.5
2021- 08- 26,22:00,351.7,348.2
2021- 07- 28,22:00,348.4,343.5
2021- 06- 31,22:00,343.3,337.8
2021- 05- 27,22:00,337.4,331.6
2021- 04- 29,22:00,331.2,325.5
2021- 03- 25,22:00,324.9,320.3
2021- 02- 27,22:00,319.7,316.8
2021- 01- 30,22:00,316.7,313.6
2021- 12- 23,23:00,313.5,310.0
2021- 11- 26,23:00,310.1,307.0
2020- 10- 23,23:00,307.0,302.5
2020- 09- 24,23:00,302.6,297.5
2020- 08- 27,22:00,297.7,293.3
2020- 07- 23,22:00,293.0,290.0
2020- 06- 25,22:00,289.9,287.2
2020- 05- 22,22:00,287.3,288.0
2020- 04- 24,22:00,288.3,287.7
2020- 03- 26,22:00,287.9,287.4
2020- 02- 22,22:00,287.0,284.9
2020- 01- 25,22:00,284.4,283.0
2020- 12- 25,23:00,283.0,281.3
2020- 11- 22,23:00,281.2,280.2
2019- 10- 31,23:00,280.2,279.2
2019- 09- 26,23:00,279.2,277.4
2019- 08- 23,22:00,277.4,276.9
2019- 07- 24,22:00,276.9,275.6
2019- 06- 27,22:00,275.6,275.2
2019- 05- 23,22:00,275.0,274.8
2019- 04- 25,22:00,274.7,273.4
2019- 03- 28,22:00,273.4,273.1
2019- 02- 23,22:00,272.8,272.1
2019- 01- 26,22:00,272.0,270.4
2019- 12- 26,23:00,270.2,269.4
2019- 11- 23,23:00,269.2,268.2
2018- 10- 27,23:00,267.9,267.0
2018- 09- 27,23:00,266.9,266.4
2018- 08- 24,22:00,266.0,265.4
2018- 07- 25,22:00,265.0,264.4
2018- 08- 23,22:00,264.0,263.6
2018- 05- 24,22:00,263.3,262.6
2018- 04- 21,22:00,262.5,262.1
2018- 03- 24,22:00,261.7,261.6
2018- 02- 24,22:00,261.1,259.5
2018- 01- 22,22:00,259.3,257.3
2018- 12- 27,23:00,256.9,256.2
2018- 11- 24,23:00,256.0,255.0
2017- 10- 21,23:00,254.7,253.3
2017- 09- 28,23:00,253.0,252.2
2017- 08- 25,22:00,251.8,250.2
2017- 07- 21,22:00,249.8,249.4
2017- 06- 22,22:00,249.3,249.1
2017- 05- 25,22:00,249.2,248.3
2017- 04- 22,22:00,248.2,246.6
2017- 03- 24,22:00,246.2,244.8
2017- 02- 25,22:00,244.8,242.9
2017- 01- 22,22:00,242.6,242.5
2017- 12- 23,23:00,242.6,241.6
2017- 11- 25,23:00,241.3,240.0
2016- 10- 22,23:00,240.2,239.3
2016- 09- 23,23:00,239.2,237.9
2016- 08- 25,22:00,237.9,236.2
2016- 07- 22,22:00,236.1,235.0
2016- 06- 24,22:00,234.8,234.3
2016- 05- 21,22:00,234.3,233.8
2016- 04- 22,22:00,233.8,233.2
2016- 03- 25,22:00,233.1,231.5
2016- 02- 21,22:00,231.4,230.5
2016- 01- 22,22:00,230.7,229.5
2016- 12- 25,23:00,229.7,228.6
2016- 11- 26,23:00,228.8,227.6
2015- 10- 22,23:00,227.5,226.4
2015- 09- 25,23:00,226.5,224.8
2015- 08- 22,22:00,224.9,224.3
2015- 07- 22,22:00,224.5,223.2
2015- 06- 25,22:00,223.4,222.9
2015- 05- 22,22:00,222.8,221.8
2015- 04- 23,22:00,221.7,221.1
2015- 03- 26,22:00,221.0,220.2
2015- 02- 22,22:00,220.5,219.0
2015- 01- 24,22:00,219.0,218.3
2015- 12- 26,23:00,218.6,216.8
2015- 11- 22,23:00,216.9,215.2
2014- 10- 23,23:00,215.4,214.2
2014- 09- 25,23:00,214.0,213.9
2014- 08- 23,22:00,214.0,213.1
2014- 07- 23,22:00,212.7,212.5
2014- 08- 26,22:00,212.7,211.9
2014- 06- 01,18:00,212.0,211.2
2014- 05- 01,18:00,211.2,210.6
2014- 04- 01,18:00,210.6,210.2
2014- 03- 01,18:00,210.2,209.1
2014- 02- 01,18:00,209.1,208.3
2014- 01- 01,18:00,208.3,207.1
2014- 12- 01,18:00,207.1,205.7
2013- 11- 01,18:00,205.7,205.7
2013- 10- 01,18:00,205.7,204.7
2013- 09- 01,18:00,204.7,203.7
2013- 08- 01,18:00,203.7,202.8
2013- 07- 01,18:00,202.8,201.4
2013- 06- 01,18:00,201.4,200.2
2013- 05- 01,18:00,200.2,198.6
2013- 04- 01,18:00,198.6,197.7
2013- 03- 01,18:00,197.7,195.4
2013- 02- 01,18:00,195.4,193.9
2013- 01- 01,18:00,193.9,192.4
2013- 12- 01,18:00,192.4,191.5
2012- 11- 01,18:00,191.5,190.5
2012- 10- 01,18:00,190.5,189.2
2012- 09- 01,18:00,189.2,188.3
2012- 08- 01,18:00,188.3,187.3
2012- 07- 01,18:00,187.3,187.0
2012- 06- 01,18:00,187.0,186.5
2012- 05- 01,18:00,186.5,185.3
2012- 04- 01,18:00,185.3,184.2
2012- 03- 01,18:00,184.2,182.4
2012- 02- 01,18:00,182.4,182.2
2012- 01- 01,18:00,182.2,182.3
2012- 12- 01,18:00,182.3,181.6
2011- 11- 01,18:00,181.6,180.8
2011- 10- 01,18:00,180.8,181.8
2011- 09- 01,18:00,181.8,180.7
2011- 08- 01,18:00,180.7,181.2
2011- 07- 01,18:00,181.2,180.8
2011- 06- 01,18:00,180.8,180.0
2011- 05- 01,18:00,180.0,180.3
2011- 04- 01,18:00,180.3,180.0
2011- 03- 01,18:00,180.0,181.8
2011- 02- 01,18:00,181.8,183.8
2011- 01- 01,18:00,183.8,184.6
2011- 12- 01,18:00,184.6,185.8
2010- 11- 01,18:00,185.8,186.4
2010- 10- 01,18:00,186.4,186.3
2010- 09- 01,18:00,186.3,188.0
2010- 08- 01,18:00,188.0,188.1
2010- 07- 01,18:00,188.1,189.3
2010- 06- 01,18:00,189.3,191.6
2010- 05- 01,18:00,191.6,191.4
2010- 04- 01,18:00,191.4,191.4
2010- 03- 01,18:00,191.4,191.2
2010- 02- 01,18:00,191.2,192.4
2010- 01- 01,18:00,192.4,191.9
2010- 12- 01,18:00,191.9,194.1
2009- 11- 01,18:00,194.1,193.5
2009- 10- 01,18:00,193.5,192.9
2009- 09- 01,18:00,192.9,193.2
2009- 08- 01,18:00,193.2,193.5
2009- 07- 01,18:00,193.5,194.0
2009- 06- 01,18:00,194.0,194.2
2009- 05- 01,18:00,194.2,194.6
2009- 04- 01,18:00,194.6,195.8
2009- 03- 01,18:00,195.8,198.1
2009- 02- 01,18:00,198.1,197.7
2009- 01- 01,18:00,197.7,195.9
2009- 12- 01,18:00,195.9,196.1
2008- 11- 01,18:00,196.1,199.5
2008- 10- 01,18:00,199.5,201.6
